#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: filescan
# Plugin Description: Pool scanner for file objects
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" filescan --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Offset(P)            #Ptr   #Hnd Access Name
0x000000013cee2b40     20      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cf3b7f0      2      1 RW-r-- \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000008
0x000000013d200c90     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\desktop.ini
0x000000013d201970      5      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d202930      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d203070      9      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wlanutil.dll
0x000000013d203570     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\FXSSVC.exe
0x000000013d203880     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini
0x000000013d2041f0     12      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat
0x000000013d204a80      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d204bd0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini
0x000000013d205710     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\desktop.ini
0x000000013d206b80     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000013d207330     11      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db
0x000000013d207a80     15      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000013d208070     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d20aeb0     15      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000013d20bc90     11      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000013d20cde0     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx
0x000000013d20d180     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini
0x000000013d20e670     31      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d20f5a0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000013d20ff20      8      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\OFFICE15\Cultures\OFFICE.ODF
0x000000013d211410     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dfscli.dll
0x000000013d211560     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini
0x000000013d211c40      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d213bc0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Libraries\Music.library-ms
0x000000013d2167c0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Libraries\Documents.library-ms
0x000000013d217930     28      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d218100     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Libraries\Pictures.library-ms
0x000000013d218b60     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini
0x000000013d218d70     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini
0x000000013d21a450      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d21acc0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini
0x000000013d21bf20     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini
0x000000013d21c290     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini
0x000000013d21c700     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x000000013d21c860      6      0 R--rwd \Device\HarddiskVolume1\Windows\assembly\NativeImages_v2.0.50727_64\System\b07a3c5cb52863f0741a1f0c37874090\System.ni.dll
0x000000013d21e630      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc
0x000000013d21ef20     11      0 R--r-d \Device\HarddiskVolume1\Windows\System32\schedcli.dll
0x000000013d21f4d0     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Caches\{4A82E471-6659-41F5-A1CF-AC69EE1BC762}.2.ver0x0000000000000002.db
0x000000013d21fb60     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Caches\{E18A598A-CE62-42DF-946B-1507020B55D7}.2.ver0x0000000000000001.db
0x000000013d21fdb0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d220f20     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini
0x000000013d2219c0     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Desktop.ini
0x000000013d221da0     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx
0x000000013d222380     11      0 R--rwd \Device\HarddiskVolume1\Windows\System32\devmgr.dll
0x000000013d224960      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d224b70     16      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x000000013d225370     15      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6\msvcr80.dll
0x000000013d22e9b0     15      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000003.db
0x000000013d22ef20      3      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_fa645303170382f6\comctl32.dll
0x000000013d233c00     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_106f9be843a9b4e3\comctl32.dll.mui
0x000000013d234760     15      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\Manifests\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9.manifest
0x000000013d234f20      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d235530      9      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000013d238af0     13      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SearchFilterHost.exe
0x000000013d23b2f0     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dssenh.dll
0x000000013d264a10      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\ntevt.dll
0x000000013d274860      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\catroot2\edb.log
0x000000013d275880      1      1 RW-rwd \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x000000013d275f20     11      0 R--rwd \Device\HarddiskVolume1\Windows\System32\FXSAPI.dll
0x000000013d298f20      1      1 R--rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\slack\app-4.4.2\icudtl.dat
0x000000013d29b130     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk
0x000000013d29b600     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\FileMaps\$$_syswow64_tasks_microsoft_windows_synccenter_bb7e945a68c8139d.cdf-ms
0x000000013d29ba10     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\FileMaps\$$_syswow64_en-us_licenses_default_enterprise_6e5036b03a2d36db.cdf-ms
0x000000013d400c10     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\C_1254.NLS
0x000000013d401910      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\provthrd.dll
0x000000013d4031a0      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\cimwin32.dll
0x000000013d4048b0     18      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d405070      1      1 R--r-- \Device\HarddiskVolume1\Windows\Fonts\arialbi.ttf
0x000000013d40b380      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\v8_context_snapshot.bin
0x000000013d40c220      1      1 RW-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Session Storage\LOCK
0x000000013d40d740     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\en-US\ActionCenter.dll.mui
0x000000013d40e9e0     10      0 R--r-d \Device\HarddiskVolume1\Windows\System32\spool\prtprocs\x64\winprint.dll
0x000000013d40eb30     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\framedynos.dll
0x000000013d411f20     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\win32spl.dll
0x000000013d4126a0      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\inetpp.dll
0x000000013d4144b0     14      0 R--r-- \Device\HarddiskVolume1\Windows\System32\DriverStore\infpub.dat
0x000000013d415970     15      0 R--r-- \Device\HarddiskVolume1\Windows\System32\DriverStore\infstrng.dat
0x000000013d417a50     18      1 RW-r-- \Device\HarddiskVolume1\Windows\Registration\{02D4B3F1-FD88-11D1-960D-00805FC79235}.{C472DE12-692D-4C41-B62C-55370DE75D6A}.crmlog
0x000000013d41ba40      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000013d41c070     11      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\npmproxy.dll
0x000000013d41d6b0     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\FileMaps\$$_system32_es-es_429cd1a084dc7119.cdf-ms
0x000000013d422790      1      1 -W-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Session Storage\MANIFEST-000001
0x000000013d428310      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757
0x000000013d42c320      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\icudtl.dat
0x000000013d42c570      2      1 ------ \Device\NamedPipe\mojo.3384.3388.12789660405384470669
0x000000013d42cc50      2      1 ------ \Device\Afd\Endpoint
0x000000013d434ae0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\txflog.dll
0x000000013d436070      9      0 R--rwd \Device\HarddiskVolume1\Windows\System32\mmsys.cpl
0x000000013d438a70     13      1 R--r-d \Device\HarddiskVolume1\Windows\System32\comsvcs.dll
0x000000013d43ab70      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\stdole2.tlb
0x000000013d43e7e0     13      0 R--rwd \Device\HarddiskVolume1\Windows\System32\eappcfg.dll
0x000000013d444440     14      0 R--rwd \Device\HarddiskVolume1\Windows\System32\imgutil.dll
0x000000013d446610     13      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\en-US\d2d1.dll.mui
0x000000013d447590      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d
0x000000013d4489f0      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\chrome_100_percent.pak
0x000000013d448b40      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\chrome_200_percent.pak
0x000000013d44c4a0     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d44c850      1      1 -W-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\File System\Origins\MANIFEST-000001
0x000000013d45e2e0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msdtcprx.dll
0x000000013d45ef20      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mtxclu.dll
0x000000013d460a20     13      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\mshta.exe
0x000000013d4616a0     12      0 R--rwd \Device\HarddiskVolume1\Windows\System32\hcproviders.dll
0x000000013d462dd0      1      1 RW---- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1
0x000000013d463630     13      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\logoncli.dll
0x000000013d463c50     13      0 R--rwd \Device\HarddiskVolume1\Program Files\Windows Sidebar\sidebar.exe
0x000000013d46a0f0      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000013d46a690      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msdtctm.dll
0x000000013d46c750     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msdtc.exe
0x000000013d46fc40     13      0 R--rwd \Device\HarddiskVolume1\Windows\System32\activeds.dll
0x000000013d470070     13      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\secur32.dll
0x000000013d471a50     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\msdtc.exe.mui
0x000000013d4723d0     12      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msdtcVSp1res.dll
0x000000013d475770      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mtxoci.dll
0x000000013d475990      3      1 R--rwd \Device\HarddiskVolume1\Windows\System32\wlms
0x000000013d476f20      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\QAGENT.DLL
0x000000013d478a10     14      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wpd_ci.dll
0x000000013d479780     15      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\Msdtc\MSDTC.LOG
0x000000013d47ada0     14      0 R--rwd \Device\HarddiskVolume1\Program Files\Microsoft Office\Office15\EXCEL.EXE
0x000000013d47c810     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\FileMaps\$$_boot_pcat_sv-se_d84b8da62ddbdc6c.cdf-ms
0x000000013d47f5d0      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\conhost.exe
0x000000013d4811d0     13      0 R--rwd \Device\HarddiskVolume1\Windows\System32\StikyNot.exe
0x000000013d482950     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\en-US\appwiz.cpl.mui
0x000000013d482cc0     14      0 R--rwd \Device\HarddiskVolume1\Windows\System32\TSWorkspace.dll
0x000000013d483070     19      1 -W-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Service Worker\Database\LOG
0x000000013d4831d0      1      1 -W-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Site Characteristics Database\MANIFEST-000001
0x000000013d483470      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\icudtl.dat
0x000000013d4835c0      2      1 RW-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Web Data
0x000000013d483710      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\v8_context_snapshot.bin
0x000000013d483860      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\chrome_100_percent.pak
0x000000013d483ab0      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\chrome_200_percent.pak
0x000000013d483c00      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\Locales\en-US.pak
0x000000013d487b10      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mfcsubs.dll
0x000000013d48b8c0      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000013d48df20      1      1 RW-r-d \Device\HarddiskVolume1\Windows\System32\Msdtc\Trace\dtctrace.log
0x000000013d48ed10     14      1 R--rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\Session Storage\000038.ldb
0x000000013d48f2d0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757
0x000000013d490460      2      1 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\WER\ERC
0x000000013d490750     33      0 RW-rwd \Device\HarddiskVolume1\$ConvertToNonresident
0x000000013d4908a0     18      1 R--rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\Google\Chrome\User Data\Default\000112.ldb
0x000000013d4909f0      1      1 ------ \Device\NamedPipe\mojo.3384.3388.12834480921486889789
0x000000013d4997e0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d499930     13      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Local\slack\app-4.4.0\libEGL.dll
0x000000013d499c40     16      0 R--rwd \Device\HarddiskVolume1\Windows\Resources\Ease of Access Themes\hc1.theme
0x000000013d49e440     11      0 R--rwd \Device\HarddiskVolume1\Windows\System32\QAGENTRT.DLL
0x000000013d49f360     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Sidebar.lnk
0x000000013d49f790     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Default Programs.lnk
0x000000013d49fc40     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\AuxiliaryDisplayClassInstaller.dll
0x000000013d4a02b0     16      0 R--rwd \Device\HarddiskVolume1\Windows\Resources\Ease of Access Themes\basic.theme
0x000000013d4a07e0     16      0 R--rwd \Device\HarddiskVolume1\Windows\Resources\Ease of Access Themes\hc2.theme
0x000000013d4a0aa0     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk
0x000000013d4a2330      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d4a2580     16      0 R--rwd \Device\HarddiskVolume1\Windows\Web\Wallpaper\Architecture\Desktop.ini
0x000000013d4a2bc0      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d4a2d10     16      0 R--rwd \Device\HarddiskVolume1\Windows\Web\Wallpaper\Characters\Desktop.ini
0x000000013d4a3400      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SearchFolder.dll
0x000000013d4a5140      1      1 R--rw- \Device\HarddiskVolume1\Users\Warren\AppData\Local\slack\app-4.4.2\chrome_200_percent.pak
0x000000013d4a7dc0     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\StructuredQuery.dll
0x000000013d4aa9f0      2      1 ------ \Device\NamedPipe\mojo.3384.3540.6262274232613878294
0x000000013d4ae070      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163
0x000000013d4afab0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d
0x000000013d4b12c0     11      0 R--rwd \Device\HarddiskVolume1\Windows\SysWOW64\msls31.dll
0x000000013d4b1970     33      1 -W-rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Slack\logs\browser.log
0x000000013d4b1b80     17      1 -W-rw- \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Slack\Local Storage\leveldb\000003.log
0x000000013d4b4690     16      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\FileMaps\$$_boot_dvd_pcat_de3c62295de3e26e.cdf-ms
0x000000013d4b4a60      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013d4b4dd0     16      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk
0x000000013d4bd070     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\EAPQEC.DLL
0x000000013d4bf4f0      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\Locales\en-US.pak
0x000000013d4bf7a0      1      1 ------ \Device\NamedPipe\mojo.3384.3388.7416633145219565310
0x000000013d4c0a10      1      1 R--rw- \Device\HarddiskVolume1\Program Files (x86)\Google\Chrome\Application\80.0.3987.163\resources.pak
0x000000013d4c72b0     16      0 R--r-d \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework64\v4.0.30319\en-US\WorkflowServiceHostPerformanceCounters.dll.mui
0x000000013d4c7400     15      0 R--r-d \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework64\v4.0.30319\WorkflowServiceHostPerformanceCounters.dll
0x000000013d4c7cc0      9      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WmiPerfClass.dll
0x000000013d4c7e20      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0x000000013d4c8810     15      0 R--rwd \Device\HarddiskVolume1\Users\Warren\AppData\Roaming\Slack\Cache\data_2
0x000000013d4c9690      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\fontext.dll
0x000000013d4c9bc0     14      0 R--rwd \Device\HarddiskVolume1\Windows\System32\devmgmt.msc
0x000000013d4ca220     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\msdtcVSp1res.dll.mui
0x000000013d4d9f20     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cscapi.dll
0x000000013d4da070     16      0 R--r-- \Device\HarddiskVolume1\Windows\inf\netmscli.PNF
0x000000013d4da410     16      0 R--r-- \Device\HarddiskVolume1\Windows\inf\netavpnt.PNF
0x000000013d4da560     15      0 R--r-- \Device\HarddiskVolume1\Windows\inf\nettcpip.PNF
0x000000013d4da800      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-218-0
