#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: pstree
# Plugin Description: Print process list as a tree
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" pstree --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Name                                                  Pid   PPid   Thds   Hnds Time
.. 0xfffffa80324ca5c0:chrome.exe                     3492   3384      2     56 2020-04-20 23:17:09 UTC+0000
.. 0xfffffa803271db00:chrome.exe                     3756   3384     12    166 2020-04-20 23:17:10 UTC+0000
.. 0xfffffa8031af5060:chrome.exe                     2188   3384     14    480 2020-04-20 23:24:22 UTC+0000
.. 0xfffffa803271bb00:chrome.exe                     3748   3384     12    155 2020-04-20 23:17:10 UTC+0000
.. 0xfffffa80337d8b00:chrome.exe                     4236   3384     13    245 2020-04-20 23:17:15 UTC+0000
.. 0xfffffa8033806b00:chrome.exe                     4196   3384      8    106 2020-04-20 23:17:15 UTC+0000
.. 0xfffffa803259db00:chrome.exe                     3604   3384     15    329 2020-04-20 23:17:09 UTC+0000
.. 0xfffffa80327dcb00:chrome.exe                     4600   3384     13    225 2020-04-20 23:17:32 UTC+0000
 0xfffffa803165eb00:slack.exe                        2208   2412     28    553 2020-04-20 23:16:54 UTC+0000
. 0xfffffa8031471b00:slack.exe                       1172   2208      7    135 2020-04-20 23:17:00 UTC+0000
. 0xfffffa80338cdb00:slack.exe                       2848   2208     14    276 2020-04-20 23:17:00 UTC+0000
. 0xfffffa8031ed3710:slack.exe                       2728   2208      9    213 2020-04-20 23:16:59 UTC+0000
. 0xfffffa8031688b00:slack.exe                       2812   2208     15    325 2020-04-20 23:17:00 UTC+0000
 0xfffffa8030e57b00:System                              4      0    108    572 2020-04-20 22:44:37 UTC+0000
. 0xfffffa8032005aa0:smss.exe                         280      4      2     30 2020-04-20 22:44:37 UTC+0000
 0xfffffa8032a29350:csrss.exe                         440    416     11    534 2020-04-20 22:44:38 UTC+0000
 0xfffffa8033197060:winlogon.exe                      508    416      5    117 2020-04-20 22:44:38 UTC+0000
 0xfffffa803140c5f0:WerFault.exe                     2164   2508      5    133 2020-04-20 23:16:54 UTC+0000
