Volatility Foundation Volatility Framework 2.6
Offset(P)            #Ptr   #Hnd Access Name
0x000000003ec14dd0      4      1 RW-rwd \Device\HarddiskVolume2\Windows\CSC\v2.0.6\pq
0x000000003ec15420     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\taskschd.dll
0x000000003ec15730      1      1 R--rw- \Device\HarddiskVolume2\Windows\CSC\v2.0.6\namespace
0x000000003ec179f0      3      1 R--rwd \Device\Mup\.\.
0x000000003ec17f20     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winmm.dll
0x000000003ec18070      1      1 R--rwd \Device\HarddiskVolume2
0x000000003ec188f0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ksuser.dll
0x000000003ec19930      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dsrole.dll
0x000000003ec19e20     16      0 R--r-d \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_106f9be843a9b4e3\comctl32.dll.mui
0x000000003ec1a1a0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wdmaud.drv
0x000000003ec1a620     16      0 RW-rw- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat
0x000000003ec1ef20      1      1 ------ \Device\Afd\Endpoint
0x000000003ec1f2a0      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{8DC32710-C660-495A-82F3-01663123D50D}
0x000000003ec1fb30      2      1 ------ \Device\Afd\Endpoint
0x000000003ec21110     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\intelppm.sys
0x000000003ec21500      1      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\DRM\drmstore.hds
0x000000003ec21af0     16      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec22710      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x000000003ec22860      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ec22f20     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hdaudbus.sys
0x000000003ec23180      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec237c0     17      1 RW-rw- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat
0x000000003ec24450      2      1 RW-r-- \Device\HarddiskVolume2\Users\Alissa Simpson\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
0x000000003ec279a0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\es.dll
0x000000003ec27c00     32      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-GroupPolicy%4Operational.evtx
0x000000003ec29a20     16      0 RW---- \Device\HarddiskVolume2\ProgramData\Microsoft\RAC\StateData\RacWmiEventData.dat
0x000000003ec29b70      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec2e740      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SndVolSSO.dll
0x000000003ec2e8f0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mstask.dll
0x000000003ec31050      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\lltdio.sys
0x000000003ec31d10      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\hid.dll
0x000000003ec33dd0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ec35f20      1      0 R--rwd \Device\HarddiskVolume2\$Recycle.Bin\S-1-5-21-3073570648-3149397540-2269648332-1003\desktop.ini
0x000000003ec36700     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wdmaud.drv.mui
0x000000003ec37ea0     33      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-OfflineFiles%4Operational.evtx
0x000000003ec38590     13      0 R--r-- \Device\HarddiskVolume2\Windows\inf\hdaudio.PNF
0x000000003ec38c20      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bthprops.cpl
0x000000003ec38d70      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dwmapi.dll
0x000000003ec39070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\comres.dll
0x000000003ec396c0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Sens.dll
0x000000003ec39f20      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\rspndr.sys
0x000000003ec3aae0     19      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-BranchCacheSMB%4Operational.evtx
0x000000003ec3b640      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\uxsms.dll
0x000000003ec3c070     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec3cf20     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec3df20      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\xmllite.dll
0x000000003ec3f910     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\MMDevAPI.dll.mui
0x000000003ec427d0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schedcli.dll
0x000000003ec43220      2      1 ------ \Device\NamedPipe\srvsvc
0x000000003ec43e60      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wmipcima.dll
0x000000003ec446e0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wmi.dll
0x000000003ec44920      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{8A5C3AA6-6D6B-416E-B941-D493F96484A5}
0x000000003ec44d30     14      0 R--rwd \Device\HarddiskVolume2\Windows\System32\VBoxService.exe
0x000000003ec48f20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cscdll.dll
0x000000003ec497f0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dwmredir.dll
0x000000003ec49b60      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msutb.dll
0x000000003ec4a2e0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nrpsrv.dll
0x000000003ec4ab10      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AudioSes.dll
0x000000003ec4d910     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\npmproxy.dll
0x000000003ec4e070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\lmhsvc.dll
0x000000003ec4e5c0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nsisvc.dll
0x000000003ec527b0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003ec53f20     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcore.dll
0x000000003ec55840      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcore6.dll
0x000000003ec56440      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msacm32.drv
0x000000003ec56d10      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dnsrslvr.dll
0x000000003ec58720      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FWPUCLNT.DLL
0x000000003ec5a260      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msacm32.dll
0x000000003ec5a3b0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ActionCenter.dll
0x000000003ec5cd30     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dnsext.dll
0x000000003ec60760      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\midimap.dll
0x000000003ec6a070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dhcpcsvc6.dll
0x000000003ec6b970      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\drivers\etc
0x000000003ec6d070      2      1 ------ \Device\Afd\Endpoint
0x000000003ec71b30      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\shsvcs.dll
0x000000003ec71d10      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FntCache.dll
0x000000003ec73f20     10      0 R--rwd \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Local\FontCache-System.dat
0x000000003ec74f20     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fvecerts.dll
0x000000003ec75290     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Dhcp-Client%4Admin.evtx
0x000000003ec7b070      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AUDIOKSE.dll
0x000000003ec7bc60      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tbs.dll
0x000000003ec7f900     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schedsvc.dll
0x000000003ec80070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml3r.dll
0x000000003ec803a0      1      1 RW---- \Device\HarddiskVolume2\Users\Alissa Simpson\ntuser.dat.LOG1
0x000000003ec80940     17      1 RW-rw- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Roaming\Microsoft\Windows\Cookies\index.dat
0x000000003ec80d60     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ec81630      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ec82070     17      1 RW-rw- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\History\History.IE5\index.dat
0x000000003ec82420     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\advapi32.dll
0x000000003ec82bd0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\WinSATAPI.dll.mui
0x000000003ec83830     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\MSMPEG2ENC.DLL
0x000000003ec83980     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\devenum.dll
0x000000003ec84600      2      1 ------ \Device\Afd\Endpoint
0x000000003ec84e60     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msdmo.dll
0x000000003ec86570      2      1 ------ \Device\Afd\Endpoint
0x000000003ec882e0     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Dhcpv6-Client%4Admin.evtx
0x000000003ec88650     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AudioEng.dll
0x000000003ec88a40      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{010161B9-2C68-4C8D-9C9B-46D4B250BD4F}
0x000000003ec8aa10      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WindowsCodecs.dll
0x000000003ec8bbc0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ktmw32.dll
0x000000003ec8bd10      2      0 R--rwd \Device\CdRom0\AUTORUN.INF
0x000000003ec8e2c0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fveapi.dll
0x000000003ec8e560      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ec8ed00     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
0x000000003ec8f6d0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sqmapi.dll
0x000000003ec90390      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WMALFXGFXDSP.dll
0x000000003ec90b20      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wiarpc.dll
0x000000003ec91a90     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mfplat.dll
0x000000003ec93c30      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x000000003ec93dd0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winbrand.dll
0x000000003ec94070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\taskcomp.dll
0x000000003ec95070      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-1ec-0
0x000000003ec96070      2      0 RW-rw- \Device\HarddiskVolume2\Windows\Tasks\SA.DAT
0x000000003ec96ac0     12      0 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x000000003ec97150      2      1 ------ \Device\Afd\Endpoint
0x000000003ec974c0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Ras\MobilityManager
0x000000003ec977d0     11      0 R--r-d \Device\HarddiskVolume2\Windows\Branding\Basebrd\basebrd.dll
0x000000003ec98580     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\VaultCredProvider.dll
0x000000003ec987b0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\fltMgr.sys
0x000000003ec98dc0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\fileinfo.sys
0x000000003ec9b5d0      2      1 ------ \Device\Afd\Endpoint
0x000000003ec9cdc0      2      1 ------ \Device\Afd\Endpoint
0x000000003ec9d2b0     18      1 RW-r-- \Device\HarddiskVolume2\Windows\Tasks\SCHEDLGU.TXT
0x000000003ec9dda0      2      1 ------ \Device\Afd\Endpoint
0x000000003ec9eb30     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\certCredProvider.dll
0x000000003ec9edd0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\BioCredProv.dll
0x000000003ec9ef20     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AltTab.dll
0x000000003ec9f070      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\credui.dll
0x000000003ec9f620      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SmartcardCredentialProvider.dll
0x000000003eca0070      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\4f6df392-74ef-4515-bb9b-85e1da24f42e
0x000000003eca0f20      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Contacts\desktop.ini
0x000000003eca23e0      1      1 ------ \Device\NamedPipe\atsvc
0x000000003eca2530      2      1 ------ \Device\NamedPipe\atsvc
0x000000003eca2680     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\http.sys
0x000000003eca27d0      1      1 ------ \Device\NamedPipe\atsvc
0x000000003eca2920      2      1 R--rw- \Device\HarddiskVolume2\Windows\Tasks
0x000000003eca3070      2      1 ------ \Device\Afd\Endpoint
0x000000003eca3f20     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\ntoskrnl.exe
0x000000003eca59f0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\CertificateServicesClient\SystemTask
0x000000003eca5b90      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-36c-0
0x000000003eca6c80      2      1 ------ \Device\Afd\Endpoint
0x000000003eca7070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SystemRestore\SR
0x000000003eca8070      2      1 ------ \Device\Afd\Endpoint
0x000000003eca89f0      2      1 ------ \Device\Afd\Endpoint
0x000000003eca98f0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003eca9c40      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Media Center\RecordingRestart
0x000000003ecaa9e0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\pcw.sys
0x000000003ecac570     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecac9e0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winbio.dll
0x000000003ecae070     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\vaultcli.dll
0x000000003ecae280      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\spoolsv.exe
0x000000003ecae3d0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck
0x000000003ecaeb80     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\5f5a18eb-dc73-4e45-a11c-b59043598412
0x000000003ecb1880      2      1 ------ \Device\Afd\Endpoint
0x000000003ecb2070      2      1 ------ \Device\Afd\Endpoint
0x000000003ecb2300     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\upnphost.dll
0x000000003ecb32d0      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x000000003ecb3420      1      0 R--rwd \Device\HarddiskVolume2\$Recycle.Bin\S-1-5-21-3073570648-3149397540-2269648332-1001\desktop.ini
0x000000003ecb3f20     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe
0x000000003ecb62b0      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Credentials
0x000000003ecb69c0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe
0x000000003ecb7430      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SyncCenter.dll
0x000000003ecb7c00     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\virtdisk.dll
0x000000003ecb7de0      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{25A3E8F7-4C97-4CEC-BE90-A7D979BFA32E}
0x000000003ecb9070     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\994c86ad-a929-4b2c-88a0-4e25a107a029
0x000000003ecb9dd0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003ecb9f20      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\72db7465-bc54-491b-a92a-4637a28c9bbf
0x000000003ecba7d0     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\d7b6e81d-3cf4-432c-84d2-24213f4316e6
0x000000003ecc0560     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\actxprxy.dll
0x000000003ecc0b20      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\32d6f60c-3e43-42e6-8a92-722b9c8180c5
0x000000003ecc1cb0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Media Center\PvrScheduleTask
0x000000003ecc2f20      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\2f57269b-1e09-4e2d-ab1e-b0fdac7d279c
0x000000003ecc3070      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecc3460      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Autochk\Proxy
0x000000003ecc3cc0     14      0 R--r-- \Device\HarddiskVolume2\Windows\AppPatch\AppPatch64\sysmain.sdb
0x000000003ecc43c0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Multimedia\SystemSoundsService
0x000000003ecc4510     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\eb02381f-d652-4b1c-894a-712498c62c51
0x000000003ecc48b0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasplap.dll
0x000000003ecc4ac0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasapi32.dll
0x000000003ecc4cd0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\MUI\LPRemove
0x000000003ecc5280     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\2470470f-2634-478e-b181-571e98a789bb
0x000000003ecc53d0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecc5f20     14      0 R--r-d \Device\HarddiskVolume2\Program Files\Windows NT\TableTextService\TableTextService.dll
0x000000003ecc6070      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasman.dll
0x000000003ecc6550      2      0 RWD--- \Device\HarddiskVolume2\Windows\System32\wdi\{67144949-5132-4859-8036-a737b43825d8}\{cb222552-306c-4d89-809d-800172ff01c6}\snapshot.etl
0x000000003ecc6e60      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecc7070      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\28e0a6a1-e47c-48fc-8b59-4c485deedc00
0x000000003ecc78e0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)
0x000000003ecc8070      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\28011108-68df-4c73-b91b-57427d501bba
0x000000003ecc81c0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\2ea343c4-dabe-4b36-832c-42f6afad0e99
0x000000003ecc83d0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\2b379006-d367-4c86-90e1-e354020d13e0
0x000000003ecc8a60      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SideShow\SessionAgent
0x000000003ecc9370      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SideShow\GadgetManager
0x000000003ecc94c0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\1f04f6cc-baee-4847-bada-cd50be82318d
0x000000003ecc9a70      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003ecc9c80      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SideShow\SystemDataProviders
0x000000003eccaac0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\401a0749-97bb-4d6e-ace3-3e6518cd7381
0x000000003eccac10      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rtutils.dll
0x000000003eccb070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Shell\WindowsParentalControlsMigration
0x000000003eccc070      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\486d715e-6aa2-44cf-bc48-b6990cbb53c6
0x000000003ecce800      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\TextServicesFramework\MsCtfMonitor
0x000000003eccec10      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\1f7b7221-ae8f-44f3-ba82-f7d260f51964
0x000000003ecced60     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\4c8b01a2-11ff-4c41-848f-508ef4f00cf7
0x000000003eccf920      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\5b42dd9c-5a26-4f27-bb95-34603f0997e5
0x000000003ecd0b60      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SideShow\AutoWake
0x000000003ecd1600      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Shell\WindowsParentalControls
0x000000003ecd2070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Media Center\OCURDiscovery
0x000000003ecd29f0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecd2c00      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\6084aab4-5728-4125-aef6-8bfb3465de05
0x000000003ecd3530      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003ecd4620     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)
0x000000003ecd7410      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Offline Files\Logon Synchronization
0x000000003ecd7570      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Windows Error Reporting\QueueReporting
0x000000003ecd7d40      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\613612ba-897d-44ce-8dc1-8fc283f9fd51
0x000000003ecda870     11      0 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003ecdb570     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sstpsvc.dll
0x000000003ecdc070      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003ecdd350      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\userinit.exe
0x000000003ecdd6c0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\HotStartUserAgent.dll
0x000000003ecde760     17      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000003ece0070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\EhStorAPI.dll
0x000000003ece0aa0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wmiprov.dll
0x000000003ece23d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003ece3f20     20      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx
0x000000003ece46c0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x000000003ece5740      1      1 ------ \Device\Afd\Endpoint
0x000000003ece6240      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\CertificateServicesClient\UserTask
0x000000003ece8070     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\7afcc0ca-7121-422a-ab45-b0e8d599ff08
0x000000003ece81d0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\77d665ab-5b57-4b1b-b486-88b6a0a34d3b
0x000000003ece8b30     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\BFE.DLL
0x000000003ecea420      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\WindowsColorSystem\Calibration Loader
0x000000003eceab60      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\a35bb7a6-5f0c-4c9f-8450-2b3bed532d51
0x000000003eceb370      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003eceb840      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver
0x000000003ecec430      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\af3cd684-19df-472c-9aa2-5ac7ae04c45e
0x000000003ececa50      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\UPnP\UPnPHostConfig
0x000000003ececd00      2      1 RWD--- \Device\clfs\SystemRoot\System32\Config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR
0x000000003eced3b0     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\d0250f3f-6480-484f-b719-42f659ac64d5
