#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: moddump
# Plugin Description: Dump a kernel driver to an executable file sample
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" moddump --profile=Win7SP1x64 --dump-dir "C:\xavier\xavier_framework\export\memory_analysis\2022_01_17_20_08_42\moddump
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Module Base        Module Name          Result
------------------ -------------------- ------
0xfffff80002a48000 ntoskrnl.exe         OK: driver.fffff80002a48000.sys
0xfffff880042c8000 rdpbus.sys           OK: driver.fffff880042c8000.sys
0xfffff88000c00000 Wdf01000.sys         OK: driver.fffff88000c00000.sys
0xfffff880015a9000 fvevol.sys           OK: driver.fffff880015a9000.sys
0xfffff8800178e000 fwpkclnt.sys         OK: driver.fffff8800178e000.sys
0xfffff88003e8a000 rdbss.sys            OK: driver.fffff88003e8a000.sys
0xfffff88004d6b000 USBD.SYS             OK: driver.fffff88004d6b000.sys
0xfffff880011cc000 watchdog.sys         OK: driver.fffff880011cc000.sys
0xfffff88005185000 vmhgfs.sys           OK: driver.fffff88005185000.sys
0xfffff88003fad000 netbt.sys            OK: driver.fffff88003fad000.sys
0xfffff88004631000 BthEnum.sys          OK: driver.fffff88004631000.sys
0xfffff88003ce0000 blbdrive.sys         OK: driver.fffff88003ce0000.sys
0xfffff880017ef000 hwpolicy.sys         OK: driver.fffff880017ef000.sys
0xfffff88001250000 Ntfs.sys             OK: driver.fffff88001250000.sys
0xfffff88001131000 msahci.sys           OK: driver.fffff88001131000.sys
0xfffff880039b4000 mrxsmb.sys           OK: driver.fffff880039b4000.sys
0xfffff88003f17000 TDI.SYS              OK: driver.fffff88003f17000.sys
0xfffff88001473000 vga.sys              OK: driver.fffff88001473000.sys
0xfffff880038d4000 HTTP.sys             OK: driver.fffff880038d4000.sys
0xfffff88003d35000 kbdclass.sys         OK: driver.fffff88003d35000.sys
0xfffff88004c96000 ksthunk.sys          OK: driver.fffff88004c96000.sys
0xfffff880013f7000 rdpencdd.sys         OK: driver.fffff880013f7000.sys
0xfffff80002a00000 hal.dll              OK: driver.fffff80002a00000.sys
0xfffff88000ed2000 msisadrv.sys         OK: driver.fffff88000ed2000.sys
0xfffff88003ff2000 ws2ifsl.sys          OK: driver.fffff88003ff2000.sys
0xfffff96000500000 TSDDD.dll            OK: driver.fffff96000500000.sys
0xfffff88003de7000 AgileVpn.sys         OK: driver.fffff88003de7000.sys
0xfffff88004673000 srv2.sys             OK: driver.fffff88004673000.sys
0xfffff88000e1a000 vmbus.sys            OK: driver.fffff88000e1a000.sys
0xfffff88004d7b000 HIDCLASS.SYS         OK: driver.fffff88004d7b000.sys
0xfffff880039e1000 vmmemctl.sys         OK: driver.fffff880039e1000.sys
0xfffff880011dc000 rdprefmp.sys         OK: driver.fffff880011dc000.sys
0xfffff88000e00000 mountmgr.sys         OK: driver.fffff88000e00000.sys


#################################################################################################################
# File Details
#################################################################################################################
File Name: kdcom.dll_driver.fffff80000bb7000.sys	 File Size: 10.75 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: 143515709fd96d6a25c59a06465a2dd5	 SHA-256: ef84d64516e74dc258c151a9d6359720a70106f5613c19e52af526e04e44c733	 
File Name: hal.dll_driver.fffff80002a00000.sys	 File Size: 255.49 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: fc1af224cf7f26d75fcc391ae94bbe1c	 SHA-256: 244a67873ecb6bdadffdc6b488038d07a6dab8d9cb45c2c3a831e4b7fef7216a	 
File Name: ntoskrnl.exe_driver.fffff80002a48000.sys	 File Size: 5.55 MBs	 Creation Date: 2022-01-17-2025:58	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: df5cc0dc7cd880fa76858ec6c79b5c6b	 SHA-256: 30b76157e0a1e054642194aa6c72f511bbe484ded9eca4a0c0fcfae6ef71932	 
File Name: Wdf01000.sys_driver.fffff88000c00000.sys	 File Size: 770.05 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: d2d920ecbd90fd73ccca8cdd2ca434a2	 SHA-256: 437e6383a96b42ffcc0bbeeed0df75777098147d937601f88836967b936771b5	 
File Name: WDFLDR.SYS_driver.fffff88000cc2000.sys	 File Size: 38.91 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 8ea740132eb4b633ec7b2e3e9f603c81	 SHA-256: 524877d9a85cbc5d1b3b9a6e157bb1b958bf8a5f5c131956a6e5471fd0ed463b	 
File Name: atapi.sys_driver.fffff88000cd2000.sys	 File Size: 16.9 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 35128b0312021c70ca19ffb9601d3ba8	 SHA-256: 9e5edd9f70266604fb641435e417a7f26e6186022a2f1bffd93cac69b6500982	 
File Name: mcupdate.dll_driver.fffff88000cec000.sys	 File Size: 25.6 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: d99c6e60c8862ecb43a748635f6be1ed	 SHA-256: dcc0eddecec44594ce4fd4ec4f1592360d40b57a3836b9bab45af4b9ca57f480	 
File Name: PSHED.dll_driver.fffff88000cf9000.sys	 File Size: 50.18 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: c8c1fcb5192ad24d1f90c3c448efb75f	 SHA-256: 1174d2886405524f9d42c1fc74ceced99a9d61155c38f6fb221ffba5de131fdb	 
File Name: CLFS.SYS_driver.fffff88000d0d000.sys	 File Size: 364.03 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: 009ec7b5a12a9fcbccd55375d4a15584	 SHA-256: a65979bdbc7168c5512733feaa11934e0f97a89ce6e0de9ab290acac435c897a	 
File Name: CI.dll_driver.fffff88000d6c000.sys	 File Size: 448.51 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 892b4fb81c98eea1020b1bea23b2a852	 SHA-256: 23fbc8473fe60331d75b70c01a34fa3cca8da773c0665b1192d991b2363c1883	 
File Name: mountmgr.sys_driver.fffff88000e00000.sys	 File Size: 87.55 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 3772be7e677dead478c22ecb09626a33	 SHA-256: cc0fa949b6f76077e2dbb0bab3888cf026a400f9505dbc5893bcbac1aeff82e2	 
File Name: vmbus.sys_driver.fffff88000e1a000.sys	 File Size: 192.51 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 621249de72bd3d08516115fd7325eea5	 SHA-256: db325092ba6105a21ccad83089844a9fa7bc0ddbc594a79b1f83773370457627	 
File Name: winhv.sys_driver.fffff88000e56000.sys	 File Size: 45.06 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: ecacda855feebe8da6be40ee18e5f8df	 SHA-256: bc562c085e19fcc45e2055bda2433441e06f7a01c6ed321e50b96ae20830b67a	 
File Name: ACPI.sys_driver.fffff88000e72000.sys	 File Size: 327.17 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: da7dedbb98c2cd1ff4494b37b2ab8ce2	 SHA-256: 23447a167d17f3d49c14411af0356c1c7aff8f78a17d208de0e605dde6eb540d	 
File Name: WMILIB.SYS_driver.fffff88000ec9000.sys	 File Size: 9.22 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 0dc1f91a5ee197255883855fc04f7fb8	 SHA-256: 59523f653a62530e109e2fb2aee5ec7779948ab7d1d9042b22bad855356a8f1d	 
File Name: msisadrv.sys_driver.fffff88000ed2000.sys	 File Size: 8.19 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 4fe01a769e6925c3e52d85bee4fe637d	 SHA-256: 34fa477e2f9747b9eeaa7d1034fe2dc8be77ef57761f13d70130a2735a225e90	 
File Name: pci.sys_driver.fffff88000edc000.sys	 File Size: 177.66 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 6a2d8b67a1aa572b5fe518ae9ac7d85c	 SHA-256: 3ff0ff27e9a3630814f676c838b3eb52178cdf66ac4a402d0c2610fd7fa7b1b6	 
File Name: vdrvroot.sys_driver.fffff88000f0f000.sys	 File Size: 29.18 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: 1d9dd0f745fe5067757ae2a47bd9dc04	 SHA-256: d53cb41d949cb0c9b800dab9d45010153938e9203938647c6cae237e949bcb1a	 
File Name: partmgr.sys_driver.fffff88000f1c000.sys	 File Size: 68.1 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: a49ee619957c67185b86b9f34845585b	 SHA-256: 2d808be1c14b1a4d9b846dd3214dc2d6e221ca89d65ef65ff8535fc7799d00bd	 
File Name: compbatt.sys_driver.fffff88000f31000.sys	 File Size: 14.34 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 3c152dbb31f78fba1ba66e556f20fbd2	 SHA-256: 6f0bcc83e24f96492ebf5b384ae409e2453e2760b5a9c6961dfa20df72d3d8c3	 
File Name: BATTC.SYS_driver.fffff88000f3a000.sys	 File Size: 20.99 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 0c2d721498c3bdbb94d150cc8bf71ab6	 SHA-256: 9440a9bde819116ac6d305457d30508e596ba6c783c7de28c163c0564f686390	 
File Name: volmgr.sys_driver.fffff88000f46000.sys	 File Size: 64.51 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 7e35bb384332e381d61e28857ac4b7a1	 SHA-256: d0cbefb06f48862267a1d5572e9037a2bd5fbc65690e873d5cff686edd210aef	 
File Name: volmgrx.sys_driver.fffff88000f5b000.sys	 File Size: 356.86 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 08eb981f6053e5947616bf3a53428283	 SHA-256: cfed7f56b8c119506a0fd6f9ecf869ec878383ebc7892e4b525fdcb669d282c2	 
File Name: intelide.sys_driver.fffff88000fb7000.sys	 File Size: 9.73 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: a741465c2ebbad7fcf6a3e4b57558ab2	 SHA-256: 212f2bdce601acaf0be815497e4532fffc2146c4fd7d4da4e6a34da23e29b686	 
File Name: PCIIDEX.SYS_driver.fffff88000fbf000.sys	 File Size: 41.47 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 1953a7c35865ca5ad37e2bdedb9d2273	 SHA-256: 921023a47187845f2c15e82ce5e4d47f822fce6944f6f4ce00b8ae4b478d677	 
File Name: vmci.sys_driver.fffff88000fcf000.sys	 File Size: 81.92 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: 0332ded7e8bb7c6932daa54c7283e129	 SHA-256: c5fd7e37b0c24f20b9df90dd0f74db2f6adcc3253ac34093ca71bd61313b7d39	 
File Name: vsock.sys_driver.fffff88000fe8000.sys	 File Size: 69.12 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: d10fd469aa492a83a91225fa54176712	 SHA-256: edcfaf4b9f55f8c19701f1cad13b6bebcb0e8d1297da6e80e597b28b323bc926	 
File Name: msrpc.sys_driver.fffff88001000000.sys	 File Size: 359.94 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: df0b84b3adc569d8f518703f2293217a	 SHA-256: 5e2a4264f14d9b1323477220c44cd3d5d80aa47ac2bc61e5ec033acdeca5a323	 
File Name: vmrawdsk.sys_driver.fffff8800105e000.sys	 File Size: 40.45 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: cdc9c46ad39f72feda73d1f37f81e7c8	 SHA-256: 88e5e7837cd39ebbb2d877132447a5519a7992305dae4308189e35993c05c15	 
File Name: Npfs.SYS_driver.fffff8800106d000.sys	 File Size: 44.54 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: bdd4ac02bbbaa68d0ea7bbebfef18916	 SHA-256: d2e1eeded586885ad097f0418c3cb1aa1b2bc6b37b6388545d3f32842a97bd49	 
File Name: ataport.SYS_driver.fffff88001086000.sys	 File Size: 148.48 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: c4277647752c21d0b82facbf4fa2ce6c	 SHA-256: a8f163e3f4352040c5069de9de586a6682864ca70c48b79102b6f045e1f1034c	 
File Name: lsi_sas.sys_driver.fffff880010b0000.sys	 File Size: 99.33 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: aef8c7cf3f6329fa06bf4fc6fd71b20f	 SHA-256: b2c77f89fea2f2c2e12b847694211fdfb193306738364cd4d8c01047679df9a	 
File Name: storport.sys_driver.fffff880010cd000.sys	 File Size: 183.81 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 26f141c3c52b120f9a7477b694035d63	 SHA-256: d50d5be5ba95984eb767d0240aa0a2a7938b331419b247c4b33120691e1eb984	 
