#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: handles
# Plugin Description: Print list of open handles for each process
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" handles --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Offset(V)             Pid             Handle             Access Type             Details
0xfffffa8032ff48e0      4               0xcc           0x12019f File             \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0xfffffa8032ff45c0      4               0xd0           0x12019f File             \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0xfffffa8034497050      4               0xd4           0x12019f File             \Device\clfsTxfLog
0xfffffa8032840800      4               0xd8          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\DEFAULT.LOG1
0xfffffa8031abab50      4               0xdc           0x1fffff Thread           TID 4 PID 833335032
0xfffff8a0002427f0      4               0xe0               0x10 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
0xfffff8a000244720      4               0xe4            0xf003f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0xfffff8a0002447c0      4               0xe8            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001
0xfffff8a000286a70      4               0xec                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
0xfffffa8031b21b50      4               0xf0           0x1fffff Thread           TID 4 PID 833756920
0xfffff8a0002f2f00      4               0xf4               0x10 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
0xfffff8a0001dc160      4               0xf8            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\DISK
0xfffffa8030e57b00      4               0xfc             0x1440 Process          System(4)
0xfffff8a00028f860      4              0x100            0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PCW\SECURITY
0xfffff8a00028bda0      4              0x104                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\23
0xfffff8a000286680      4              0x108                0x2 Key              MACHINE\SYSTEM\RNG
0xfffff8a0002cfda0      4              0x10c                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\131
0xfffff8a0001d1f00      4              0x110               0x10 Key              MACHINE\SYSTEM\CONTROLSET001\POLICIES
0xfffff8a0002cfaa0      4              0x114                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\1
0xfffffa803283d670      4              0x118                0x3 File             \Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG1
0xfffff8a0002d9ec0      4              0x11c                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\6
0xfffff8a0002d95b0      4              0x120                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
0xfffff8a000004a90      4              0x124            0xf01ff Token            
0xfffff8a0002da870      4              0x128            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
0xfffffa8032e3e2c0      4              0x12c           0x12008b File             \Device\HarddiskVolume1\Windows\System32\wdi\LogFiles\WdiContextLog.etl.001
0xfffffa803283e8b0      4              0x130          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SOFTWARE.LOG2
0xfffff8a005a27040      4              0x134            0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
0xfffff8a0001ef080      4              0x138               0x10 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
0xfffffa8032e7c2c0      4              0x13c            0x10003 File             \Device\HarddiskVolume1\Windows\System32\config\RegBack\SOFTWARE
0xfffffa8032831a60      4              0x140          0x2020003 File             \Device\HarddiskVolume1\Windows\System32\config\DEFAULT
0xfffff8a0002e3710      4              0x144            0xf000f Directory        Harddisk0
0xfffffa80323b2c60      4              0x148           0x1f007f TmRm             
0xfffff8a005a18ee0      4              0x14c            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0001
0xfffffa8032e772c0      4              0x150           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms
0xfffffa8032871370      4              0x154            0x10003 File             \Device\HarddiskVolume1\Windows\System32\config\RegBack\DEFAULT
0xfffffa8033574f20      4              0x158          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SECURITY.LOG2
0xfffffa80323ffa80      4              0x15c            0x10003 File             \Device\HarddiskVolume1\Windows\System32\config\RegBack\SYSTEM
0xfffffa803274b8a0      4              0x160           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.5.regtrans-ms
0xfffffa80323b2300      4              0x164           0x12019f File             \Device\clfs\SystemRoot\System32\Config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
0xfffffa80327ffa50      4              0x168           0x13008b File             \Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
0xfffffa8032eb3d70      4              0x16c           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.blf
0xfffffa8032ea29d0      4              0x170           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
0xfffffa8032ea38d0      4              0x174           0x12019f File             \Device\clfs\SystemRoot\System32\Config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
0xfffffa8032eb5520      4              0x178           0x1f007f TmRm             
0xfffffa80323fd900      4              0x17c           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.2.regtrans-ms
0xfffffa80323b2830      4              0x180            0xf003f TmTm             
0xfffffa8032eb5360      4              0x184           0x13019f File             \Device\clfs\SystemRoot\System32\Config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR
0xfffffa8032eb2b50      4              0x188                0x0 Thread           TID 4 PID 854273784
0xfffffa80323fd510      4              0x18c           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.4.regtrans-ms
0xfffff8a005a7ed80      4              0x190            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0000
0xfffffa803274bea0      4              0x194           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.3.regtrans-ms
0xfffffa80323fdf20      4              0x198           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.0.regtrans-ms
0xfffffa80323fdd10      4              0x19c           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.1.regtrans-ms
0xfffff8a005a78d00      4              0x1a0                0x9 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
0xfffff8a000ac0720      4              0x1a4            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffffa8032ebbb40      4              0x1a8                0x1 Session          Session0
0xfffff8a000ab99a0      4              0x1ac            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a005a7d9e0      4              0x1b0               0x10 Key              MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
0xfffffa803283db70      4              0x1b4          0x2000003 File             \Device\HarddiskVolume1\Boot\BCD.LOG
0xfffffa8032ea4dd0      4              0x1b8          0x2020003 File             \Device\HarddiskVolume1\Boot\BCD
0xfffff8a000ab9c50      4              0x1bc            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000aade40      4              0x1c0            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\INITVERBS
0xfffff8a000abca10      4              0x1c4            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abcc20      4              0x1c8            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ab9670      4              0x1cc            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abab70      4              0x1d0            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ab9710      4              0x1d4            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abacb0      4              0x1d8            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000aba3d0      4              0x1dc            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abc890      4              0x1e0            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ab6480      4              0x1e4            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000aba980      4              0x1e8            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abc3e0      4              0x1ec            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ab9040      4              0x1f0            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abce20      4              0x1f4            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ac03c0      4              0x1f8            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000aba510      4              0x1fc            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffffa8032f12a80      4              0x200           0x100001 File             \Device\KsecDD
0xfffff8a000abaa20      4              0x204            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000abc970      4              0x208            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000ab9860      4              0x20c            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffffa8032eea570      4              0x210                0x2 Event            EFSInitEvent
0xfffffa8032f10d90      4              0x214           0x1f0003 Event            UniqueSessionIdEvent
0xfffffa8032f188f0      4              0x218           0x100000 File             \Device\HarddiskVolume1\Windows\bootstat.dat
0xfffffa803254d580      4              0x21c               0x2a Process          wininit.exe(408)
0xfffff8a00008a7f0      4              0x220            0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
0xfffff8a000b19760      4              0x224            0xf001f Section          Win32kCrossSessionGlobals
0xfffffa8032efeb50      4              0x228           0x140003 File             \Device\HarddiskVolume1\pagefile.sys
0xfffff8a000010370      4              0x230            0xf001f Section          PhysicalMemory
0xfffffa8032ff0d50      4              0x234           0x1200a9 File             \Device\HarddiskVolume1\Windows\ehome\WTVGOTHIC-S.ttc
0xfffffa80326728a0      4              0x238           0x120089 File             \Device\HarddiskVolume1\Windows\System32\en-US\win32k.sys.mui
0xfffffa80343f4450      4              0x23c           0x1200a9 File             \Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
0xfffffa8032f0d920      4              0x240           0x12019f File             \Device\Tcp
0xfffff8a000b99ea0      4              0x244                0x4 Directory        WindowStations
0xfffff8a000baa9b0      4              0x248                0xe Token            
0xfffffa8032ecbb00      4              0x24c           0x1f0003 Event            UniqueInteractiveSessionIdEvent
0xfffffa8032a2ca60      4              0x250           0x1f0001 ALPC Port        
0xfffffa8032a2c980      4              0x254           0x1f0003 IoCompletion     
0xfffffa8032540fe0      4              0x258                0x1 Session          Session1
0xfffffa8032a29b50      4              0x25c           0x1fffff Thread           TID 4 PID 849518328
0xfffff8a000c62080      4              0x264                0x4 Directory        WindowStations
0xfffffa8032a29a10      4              0x268           0x1200a9 File             \Device\HarddiskVolume1\Windows\ehome\WTVGOTHIC-S.ttc
0xfffffa803315f1b0      4              0x26c           0x1200a9 File             \Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
0xfffffa80310a6600      4              0x270            0xf003f TmTm             
0xfffffa80331a43a0      4              0x274           0x1f0001 ALPC Port        
0xfffffa8033197060      4              0x278               0x2a Process          winlogon.exe(508)
0xfffff8a000c6b530      4              0x27c                0xe Token            
0xfffffa80331ad120      4              0x280           0x1f0003 Event            EventShutDownCSRSS
0xfffffa803315ebf0      4              0x284            0xf0003 Desktop          Disconnect
0xfffffa80338f37a0      4              0x288           0x12019f File             \Device\HarddiskVolume1\Users\Warren\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
0xfffffa8032540fe0      4              0x28c                0x0 Session          Session1
0xfffff8a00027bd70      4              0x290            0xf003f Key              A\{82A46D85-8358-11EA-93B9-000C29CDA890}\DEFAULTOBJECTSTORE\LRULIST
0xfffffa80331c46f0      4              0x294            0xf0003 Desktop          Disconnect
0xfffffa8032540fe0      4              0x298                0x0 Session          Session1
0xfffffa8032540fe0      4              0x29c                0x0 Session          Session1
0xfffffa8032540fe0      4              0x2a0                0x0 Session          Session1
0xfffffa8032540fe0      4              0x2a4                0x0 Session          Session1
0xfffffa80331a7b00      4              0x2a8               0x2a Process          lsass.exe(536)
0xfffffa8032540fe0      4              0x2ac                0x0 Session          Session1
0xfffffa8032540fe0      4              0x2b0                0x0 Session          Session1
0xfffffa80331d03c0      4              0x2b4           0x1f0001 ALPC Port        
0xfffffa8032540fe0      4              0x2b8                0x0 Session          Session1
0xfffffa8032540fe0      4              0x2bc                0x0 Session          Session1
0xfffffa80331a7b00      4              0x2c0             0x1438 Process          lsass.exe(536)
0xfffffa80331a7b00      4              0x2c4               0x28 Process          lsass.exe(536)
0xfffffa80331a7b00      4              0x2c8               0x2a Process          lsass.exe(536)
0xfffffa80331de640      4              0x2cc           0x1f0001 ALPC Port        
0xfffffa80336f5420      4              0x2d0           0x12008b File             \Device\HarddiskVolume1\Windows\System32\wfp\wfpdiag.etl
0xfffffa8033216da0      4              0x2d4           0x1f0001 ALPC Port        
0xfffffa803317e8e0      4              0x2d8               0x2a Process          services.exe(472)
0xfffffa803317e8e0      4              0x2dc               0x2a Process          services.exe(472)
0xfffffa80331adb00      4              0x2e0               0x2a Process          lsm.exe(544)
0xfffff8a0014be570      4              0x2e4            0xf003f Key              A\{82A46D85-8358-11EA-93B9-000C29CDA890}\DEFAULTOBJECTSTORE\INDEXTABLE\FILEIDINDEX-{AB799FBC-4EE7-11EA-8E37-806E6F6E6963}
0xfffffa8033227b00      4              0x2e8               0x2a Process          svchost.exe(660)
0xfffffa8033255f20      4              0x2ec                0x3 File             \Device\HarddiskVolume1
0xfffffa803347f730      4              0x2f0           0x12019f File             \Device\Tcp
0xfffffa803324af20      4              0x2f4           0x13008b File             \Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
0xfffffa803324d610      4              0x2f8           0x1f0001 ALPC Port        
0xfffffa803325c060      4              0x2fc               0x2a Process          vmacthlp.exe(728)
0xfffffa803325c060      4              0x300               0x2a Process          vmacthlp.exe(728)
0xfffff8a001479c90      4              0x304            0xf003f Key              A\{82A46D85-8358-11EA-93B9-000C29CDA890}\DEFAULTOBJECTSTORE
0xfffffa803317e8e0      4              0x308               0x2a Process          services.exe(472)
0xfffffa8033266060      4              0x30c               0x2a Process          svchost.exe(772)
0xfffffa8033227b00      4              0x310               0x2a Process          svchost.exe(660)
0xfffffa80331f83d0      4              0x314          0x2020003 File             \Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
0xfffffa80331f8d50      4              0x318          0x2000003 File             \Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1
0xfffffa8033215b30      4              0x31c          0x2000003 File             \Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
0xfffffa8032d45070      4              0x320           0x12019f File             \Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{82a46d7a-8358-11ea-93b9-806e6f6e6963}.TM.blf
0xfffffa8033227b00      4              0x324               0x2a Process          svchost.exe(660)
0xfffffa8032c65070      4              0x328           0x1f007f TmRm             
0xfffffa80324e5cd0      4              0x32c           0x12019f File             \Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{82a46d7a-8358-11ea-93b9-806e6f6e6963}.TM
0xfffffa80323ecae0      4              0x330           0x12019f File             \Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{82a46d7a-8358-11ea-93b9-806e6f6e6963}.TM
0xfffffa8033250070      4              0x334           0x12019f File             \Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{82a46d7a-8358-11ea-93b9-806e6f6e6963}.TMContainer00000000000000000001.regtrans-ms
