#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: ssdt
# Plugin Description: Display SSDT entries
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" ssdt --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
  Entry 0x0015: 0xfffff80002996c90 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff800029b0410 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff800029c3fa0 (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80002af5f30 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff8000298d59c (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff80002953170 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff8000268c4d0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80002adc580 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff80002995404 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff800029655c0 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff800029b29c0 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff80002979930 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff80002973338 (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff8000298ca30 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff800029722ec (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff8000297dcb0 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff800029b89e0 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff800029830a0 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff800029b6ad4 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff800029b2fe0 (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff800029585a4 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff80002ab2980 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff800029076c4 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff80002972d80 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff8000297ac40 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff80002950150 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff80002957670 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff800029880dc (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff800029959d4 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff800029887b0 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff800029a98fc (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff800029b8d80 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff80002ab2520 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff80002979870 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff80002946850 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff80002975c3c (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff80002978c10 (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff8000297ae20 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff80002989588 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff800029469c0 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff80002980e44 (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff80002954334 (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff80002945b08 (NtDuplicateToken) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff800026a1140 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0041: 0xfffff80002a4a450 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0042: 0xfffff80002983efc (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x0043: 0xfffff8000266e568 (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0044: 0xfffff800028f206c (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0045: 0xfffff80002964e60 (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0046: 0xfffff800029b3fc0 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x0047: 0xfffff8000297a9b0 (NtCreateSection) owned by ntoskrnl.exe
  Entry 0x0048: 0xfffff8000293e700 (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x0049: 0xfffff8000297fa34 (NtApphelpCacheControl) owned by ntoskrnl.exe
  Entry 0x004a: 0xfffff80002b0ff20 (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x004b: 0xfffff80002a7db70 (NtCreateThread) owned by ntoskrnl.exe
  Entry 0x004c: 0xfffff80002ab2fd0 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x004d: 0xfffff800029b7b2c (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x004e: 0xfffff800029bbdb0 (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x004f: 0xfffff800029901c8 (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x0050: 0xfffff80002975530 (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0051: 0xfffff80002b03a10 (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x0052: 0xfffff800029a7400 (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0053: 0xfffff80002939284 (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0054: 0xfffff80002b03990 (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0055: 0xfffff800029b9900 (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0056: 0xfffff80002940ba4 (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0057: 0xfffff80002a26ea0 (NtQuerySystemTime) owned by ntoskrnl.exe
  Entry 0x0058: 0xfffff80002995f58 (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x0059: 0xfffff8000293b96c (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x005a: 0xfffff80002ab1e10 (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x005b: 0xfffff80002684c2c (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x005c: 0xfffff8000295be3c (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x005d: 0xfffff800029531b0 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x005e: 0xfffff8000265446c (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x005f: 0xfffff8000268c0a4 (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x0060: 0xfffff800029592e0 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0061: 0xfffff80002665ad4 (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0062: 0xfffff8000267a4d4 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0063: 0xfffff800027b4e20 (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0064: 0xfffff80002ac4560 (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0065: 0xfffff80002ac44a0 (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0066: 0xfffff80002ae1030 (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x0067: 0xfffff80002ae0d90 (NtAddDriverEntry) owned by ntoskrnl.exe
  Entry 0x0068: 0xfffff8000291f2e0 (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x0069: 0xfffff80002ac6080 (NtAlertResumeThread) owned by ntoskrnl.exe
  Entry 0x006a: 0xfffff80002986d4c (NtAlertThread) owned by ntoskrnl.exe
  Entry 0x006b: 0xfffff80002936d80 (NtAllocateLocallyUniqueId) owned by ntoskrnl.exe
  Entry 0x006c: 0xfffff80002a7d020 (NtAllocateReserveObject) owned by ntoskrnl.exe
  Entry 0x006d: 0xfffff80002af4480 (NtAllocateUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x006e: 0xfffff800028ecb20 (NtAllocateUuids) owned by ntoskrnl.exe
  Entry 0x006f: 0xfffff8000297c730 (NtAlpcAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0070: 0xfffff8000290715c (NtAlpcCancelMessage) owned by ntoskrnl.exe
  Entry 0x0071: 0xfffff800029815dc (NtAlpcConnectPort) owned by ntoskrnl.exe
  Entry 0x0072: 0xfffff80002987428 (NtAlpcCreatePort) owned by ntoskrnl.exe
  Entry 0x0073: 0xfffff8000293c7a4 (NtAlpcCreatePortSection) owned by ntoskrnl.exe
  Entry 0x0074: 0xfffff80002987870 (NtAlpcCreateResourceReserve) owned by ntoskrnl.exe
  Entry 0x0075: 0xfffff8000293ba10 (NtAlpcCreateSectionView) owned by ntoskrnl.exe
  Entry 0x0076: 0xfffff80002940524 (NtAlpcCreateSecurityContext) owned by ntoskrnl.exe
  Entry 0x0077: 0xfffff80002933b44 (NtAlpcDeletePortSection) owned by ntoskrnl.exe
  Entry 0x0078: 0xfffff80002a6e2d0 (NtAlpcDeleteResourceReserve) owned by ntoskrnl.exe
  Entry 0x0079: 0xfffff800029587fc (NtAlpcDeleteSectionView) owned by ntoskrnl.exe
  Entry 0x007a: 0xfffff800029406f0 (NtAlpcDeleteSecurityContext) owned by ntoskrnl.exe
  Entry 0x007b: 0xfffff80002958290 (NtAlpcDisconnectPort) owned by ntoskrnl.exe
  Entry 0x007c: 0xfffff80002972b50 (NtAlpcImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x007d: 0xfffff8000298232c (NtAlpcOpenSenderProcess) owned by ntoskrnl.exe
  Entry 0x007e: 0xfffff8000295b7a0 (NtAlpcOpenSenderThread) owned by ntoskrnl.exe
  Entry 0x007f: 0xfffff80002930180 (NtAlpcQueryInformation) owned by ntoskrnl.exe
  Entry 0x0080: 0xfffff800029726c0 (NtAlpcQueryInformationMessage) owned by ntoskrnl.exe
  Entry 0x0081: 0xfffff80002a6e150 (NtAlpcRevokeSecurityContext) owned by ntoskrnl.exe
  Entry 0x0082: 0xfffff800029ac6c0 (NtAlpcSendWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0083: 0xfffff80002986490 (NtAlpcSetInformation) owned by ntoskrnl.exe
  Entry 0x0084: 0xfffff800028ec850 (NtAreMappedFilesTheSame) owned by ntoskrnl.exe
  Entry 0x0085: 0xfffff80002956cd4 (NtAssignProcessToJobObject) owned by ntoskrnl.exe
  Entry 0x0086: 0xfffff800029c2fd0 (NtCancelIoFileEx) owned by ntoskrnl.exe
  Entry 0x0087: 0xfffff80002ac6e70 (NtCancelSynchronousIoFile) owned by ntoskrnl.exe
  Entry 0x0088: 0xfffff80002ac8470 (NtCommitComplete) owned by ntoskrnl.exe
  Entry 0x0089: 0xfffff80002aef000 (NtCommitEnlistment) owned by ntoskrnl.exe
  Entry 0x008a: 0xfffff8000292d220 (NtCommitTransaction) owned by ntoskrnl.exe
  Entry 0x008b: 0xfffff80002acbef0 (NtCompactKeys) owned by ntoskrnl.exe
  Entry 0x008c: 0xfffff80002964730 (NtCompareTokens) owned by ntoskrnl.exe
  Entry 0x008d: 0xfffff80002929a00 (NtCompleteConnectPort) owned by ntoskrnl.exe
  Entry 0x008e: 0xfffff80002b1d1f0 (NtCompressKey) owned by ntoskrnl.exe
  Entry 0x008f: 0xfffff8000294d148 (NtConnectPort) owned by ntoskrnl.exe
  Entry 0x0090: 0xfffff80002a7cda0 (NtCreateDebugObject) owned by ntoskrnl.exe
  Entry 0x0091: 0xfffff800029367c0 (NtCreateDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0092: 0xfffff80002925d78 (NtCreateEnlistment) owned by ntoskrnl.exe
  Entry 0x0093: 0xfffff80002a7cf20 (NtCreateEventPair) owned by ntoskrnl.exe
  Entry 0x0094: 0xfffff80002981d30 (NtCreateIoCompletion) owned by ntoskrnl.exe
  Entry 0x0095: 0xfffff80002a7d6a0 (NtCreateJobObject) owned by ntoskrnl.exe
  Entry 0x0096: 0xfffff80002ac2350 (NtCreateJobSet) owned by ntoskrnl.exe
  Entry 0x0097: 0xfffff800029288e8 (NtCreateKeyTransacted) owned by ntoskrnl.exe
  Entry 0x0098: 0xfffff8000295228c (NtCreateKeyedEvent) owned by ntoskrnl.exe
  Entry 0x0099: 0xfffff80002913450 (NtCreateMailslotFile) owned by ntoskrnl.exe
  Entry 0x009a: 0xfffff80002945e40 (NtCreateMutant) owned by ntoskrnl.exe
  Entry 0x009b: 0xfffff80002960fe0 (NtCreateNamedPipeFile) owned by ntoskrnl.exe
  Entry 0x009c: 0xfffff80002b071c0 (NtCreatePagingFile) owned by ntoskrnl.exe
  Entry 0x009d: 0xfffff8000295b73c (NtCreatePort) owned by ntoskrnl.exe
  Entry 0x009e: 0xfffff80002910cc4 (NtCreatePrivateNamespace) owned by ntoskrnl.exe
  Entry 0x009f: 0xfffff80002b0ffb0 (NtCreateProcess) owned by ntoskrnl.exe
  Entry 0x00a0: 0xfffff80002ac4360 (NtCreateProfile) owned by ntoskrnl.exe
  Entry 0x00a1: 0xfffff80002ac4430 (NtCreateProfileEx) owned by ntoskrnl.exe
  Entry 0x00a2: 0xfffff80002929bf8 (NtCreateResourceManager) owned by ntoskrnl.exe
  Entry 0x00a3: 0xfffff80002946344 (NtCreateSemaphore) owned by ntoskrnl.exe
  Entry 0x00a4: 0xfffff80002936e00 (NtCreateSymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x00a5: 0xfffff8000298f128 (NtCreateThreadEx) owned by ntoskrnl.exe
  Entry 0x00a6: 0xfffff80002934038 (NtCreateTimer) owned by ntoskrnl.exe
  Entry 0x00a7: 0xfffff80002935d5c (NtCreateToken) owned by ntoskrnl.exe
  Entry 0x00a8: 0xfffff80002922fe0 (NtCreateTransaction) owned by ntoskrnl.exe
  Entry 0x00a9: 0xfffff80002928ff0 (NtCreateTransactionManager) owned by ntoskrnl.exe
  Entry 0x00aa: 0xfffff8000294a4a0 (NtCreateUserProcess) owned by ntoskrnl.exe
  Entry 0x00ab: 0xfffff80002abdd60 (NtCreateWaitablePort) owned by ntoskrnl.exe
  Entry 0x00ac: 0xfffff80002981e38 (NtCreateWorkerFactory) owned by ntoskrnl.exe
  Entry 0x00ad: 0xfffff80002aed1f0 (NtDebugActiveProcess) owned by ntoskrnl.exe
  Entry 0x00ae: 0xfffff80002ac4b90 (NtDebugContinue) owned by ntoskrnl.exe
  Entry 0x00af: 0xfffff80002ad6f00 (NtDeleteAtom) owned by ntoskrnl.exe
  Entry 0x00b0: 0xfffff80002a8ffa0 (NtDeleteBootEntry) owned by ntoskrnl.exe
  Entry 0x00b1: 0xfffff80002a8fa80 (NtDeleteDriverEntry) owned by ntoskrnl.exe
  Entry 0x00b2: 0xfffff800028f9780 (NtDeleteFile) owned by ntoskrnl.exe
  Entry 0x00b3: 0xfffff800029201d0 (NtDeleteKey) owned by ntoskrnl.exe
  Entry 0x00b4: 0xfffff80002ac36d0 (NtDeleteObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x00b5: 0xfffff800029bfef0 (NtDeletePrivateNamespace) owned by ntoskrnl.exe
  Entry 0x00b6: 0xfffff8000291eb1c (NtDeleteValueKey) owned by ntoskrnl.exe
  Entry 0x00b7: 0xfffff80002a6dec0 (NtDisableLastKnownGood) owned by ntoskrnl.exe
  Entry 0x00b8: 0xfffff80002af6890 (NtDisplayString) owned by ntoskrnl.exe
  Entry 0x00b9: 0xfffff800027bc2b0 (NtDrawText) owned by ntoskrnl.exe
  Entry 0x00ba: 0xfffff80002aba770 (NtEnableLastKnownGood) owned by ntoskrnl.exe
  Entry 0x00bb: 0xfffff80002afc3a0 (NtEnumerateBootEntries) owned by ntoskrnl.exe
  Entry 0x00bc: 0xfffff80002afb980 (NtEnumerateDriverEntries) owned by ntoskrnl.exe
  Entry 0x00bd: 0xfffff80002afc960 (NtEnumerateSystemEnvironmentValuesEx) owned by ntoskrnl.exe
  Entry 0x00be: 0xfffff80002ac1e00 (NtEnumerateTransactionObject) owned by ntoskrnl.exe
  Entry 0x00bf: 0xfffff80002acec70 (NtExtendSection) owned by ntoskrnl.exe
  Entry 0x00c0: 0xfffff800029c336c (NtFilterToken) owned by ntoskrnl.exe
  Entry 0x00c1: 0xfffff80002ad26a0 (NtFlushInstallUILanguage) owned by ntoskrnl.exe
  Entry 0x00c2: 0xfffff800029108c4 (NtFlushInstructionCache) owned by ntoskrnl.exe
  Entry 0x00c3: 0xfffff8000293f6ac (NtFlushKey) owned by ntoskrnl.exe
  Entry 0x00c4: 0xfffff8000263f898 (NtFlushProcessWriteBuffers) owned by ntoskrnl.exe
  Entry 0x00c5: 0xfffff80002904370 (NtFlushVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00c6: 0xfffff80002a0be50 (NtFlushWriteBuffer) owned by ntoskrnl.exe
  Entry 0x00c7: 0xfffff80002ac8b60 (NtFreeUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x00c8: 0xfffff80002796cb0 (NtFreezeRegistry) owned by ntoskrnl.exe
  Entry 0x00c9: 0xfffff80002ac5f90 (NtFreezeTransactions) owned by ntoskrnl.exe
  Entry 0x00ca: 0xfffff800028eeae8 (NtGetContextThread) owned by ntoskrnl.exe
  Entry 0x00cb: 0xfffff8000292f1e0 (NtGetCurrentProcessorNumber) owned by ntoskrnl.exe
  Entry 0x00cc: 0xfffff80002ac0db0 (NtGetDevicePowerState) owned by ntoskrnl.exe
  Entry 0x00cd: 0xfffff800029520a0 (NtGetMUIRegistryInfo) owned by ntoskrnl.exe
  Entry 0x00ce: 0xfffff80002acf2a0 (NtGetNextProcess) owned by ntoskrnl.exe
  Entry 0x00cf: 0xfffff80002acefb0 (NtGetNextThread) owned by ntoskrnl.exe
  Entry 0x00d0: 0xfffff80002acdef0 (NtGetNlsSectionPtr) owned by ntoskrnl.exe
  Entry 0x00d1: 0xfffff80002ac5e10 (NtGetNotificationResourceManager) owned by ntoskrnl.exe
  Entry 0x00d2: 0xfffff8000290a320 (NtGetPlugPlayEvent) owned by ntoskrnl.exe
  Entry 0x00d3: 0xfffff8000263f8a8 (NtGetWriteWatch) owned by ntoskrnl.exe
  Entry 0x00d4: 0xfffff80002934220 (NtImpersonateAnonymousToken) owned by ntoskrnl.exe
  Entry 0x00d5: 0xfffff800029466d4 (NtImpersonateThread) owned by ntoskrnl.exe
  Entry 0x00d6: 0xfffff80002947228 (NtInitializeNlsFiles) owned by ntoskrnl.exe
  Entry 0x00d7: 0xfffff800028f8740 (NtInitializeRegistry) owned by ntoskrnl.exe
  Entry 0x00d8: 0xfffff80002ae8140 (NtInitiatePowerAction) owned by ntoskrnl.exe
  Entry 0x00d9: 0xfffff80002a0a620 (NtIsSystemResumeAutomatic) owned by ntoskrnl.exe
  Entry 0x00da: 0xfffff8000295fd10 (NtIsUILanguageComitted) owned by ntoskrnl.exe
  Entry 0x00db: 0xfffff80002acc2b0 (NtListenPort) owned by ntoskrnl.exe
  Entry 0x00dc: 0xfffff80002b184f0 (NtLoadDriver) owned by ntoskrnl.exe
  Entry 0x00dd: 0xfffff8000291d594 (NtLoadKey) owned by ntoskrnl.exe
  Entry 0x00de: 0xfffff80002b1d9a0 (NtLoadKey2) owned by ntoskrnl.exe
  Entry 0x00df: 0xfffff8000291c5a4 (NtLoadKeyEx) owned by ntoskrnl.exe
  Entry 0x00e0: 0xfffff80002913b9c (NtLockFile) owned by ntoskrnl.exe
  Entry 0x00e1: 0xfffff80002ab3ad0 (NtLockProductActivationKeys) owned by ntoskrnl.exe
  Entry 0x00e2: 0xfffff80002acb5e0 (NtLockRegistryKey) owned by ntoskrnl.exe
  Entry 0x00e3: 0xfffff800027b11d0 (NtLockVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00e4: 0xfffff80002ad48d0 (NtMakePermanentObject) owned by ntoskrnl.exe
  Entry 0x00e5: 0xfffff80002938b58 (NtMakeTemporaryObject) owned by ntoskrnl.exe
  Entry 0x00e6: 0xfffff80002948610 (NtMapCMFModule) owned by ntoskrnl.exe
  Entry 0x00e7: 0xfffff80002aae4b0 (NtMapUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x00e8: 0xfffff80002ae1000 (NtModifyBootEntry) owned by ntoskrnl.exe
  Entry 0x00e9: 0xfffff80002ae0d60 (NtModifyDriverEntry) owned by ntoskrnl.exe
  Entry 0x00ea: 0xfffff8000290520c (NtNotifyChangeDirectoryFile) owned by ntoskrnl.exe
  Entry 0x00eb: 0xfffff80002955144 (NtNotifyChangeKey) owned by ntoskrnl.exe
  Entry 0x00ec: 0xfffff80002954884 (NtNotifyChangeMultipleKeys) owned by ntoskrnl.exe
  Entry 0x00ed: 0xfffff80002ac6ab0 (NtNotifyChangeSession) owned by ntoskrnl.exe
  Entry 0x00ee: 0xfffff80002abee90 (NtOpenEnlistment) owned by ntoskrnl.exe
  Entry 0x00ef: 0xfffff80002a84d90 (NtOpenEventPair) owned by ntoskrnl.exe
  Entry 0x00f0: 0xfffff80002a84a10 (NtOpenIoCompletion) owned by ntoskrnl.exe
  Entry 0x00f1: 0xfffff80002a84f00 (NtOpenJobObject) owned by ntoskrnl.exe
  Entry 0x00f2: 0xfffff80002970c90 (NtOpenKeyEx) owned by ntoskrnl.exe
  Entry 0x00f3: 0xfffff80002ac28a0 (NtOpenKeyTransacted) owned by ntoskrnl.exe
  Entry 0x00f4: 0xfffff80002928d00 (NtOpenKeyTransactedEx) owned by ntoskrnl.exe
  Entry 0x00f5: 0xfffff80002a84ce0 (NtOpenKeyedEvent) owned by ntoskrnl.exe
  Entry 0x00f6: 0xfffff800029b8e04 (NtOpenMutant) owned by ntoskrnl.exe
  Entry 0x00f7: 0xfffff80002ac37e0 (NtOpenObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x00f8: 0xfffff80002937e74 (NtOpenPrivateNamespace) owned by ntoskrnl.exe
